date,nll_joint,nll_ind,log_p_r_z,kl,n_stocks
2023-01-02,21.986738204956055,0.15483618454194406,-18.380084991455078,0.9119893908500671,142
2023-01-03,0.31990373134613037,0.002252843178493876,-0.12666022777557373,0.8733597993850708,142
2023-01-04,-0.12671101093292236,-0.0008923310629079039,-0.07165457308292389,0.8000106811523438,142
2023-01-05,0.6259700655937195,0.00440823989854732,-0.5473700761795044,0.8385024070739746,142
2023-01-06,9.235456466674805,0.06503842582165355,-7.53513240814209,0.824826717376709,142
2023-01-09,0.9436740279197693,0.006692723602267867,-0.8261519074440002,0.8002939224243164,141
2023-01-10,3.912221908569336,0.02774625467070451,-3.2800674438476562,0.8524332046508789,141
2023-01-11,-0.14025181531906128,-0.0009946937256671013,-0.006141225341707468,0.8102843165397644,141
2023-01-12,79.73876190185547,0.5655231340557125,-77.32703399658203,0.9598078727722168,141
2023-01-13,1.109270453453064,0.007867166336546553,-0.902902364730835,0.8179670572280884,141
2023-01-16,0.2589648365974426,0.0018366300467903733,-0.3227957487106323,0.8487600088119507,141
2023-01-17,0.49888110160827637,0.0035381638411934495,-0.458402156829834,0.8033566474914551,141
2023-01-18,0.9935176372528076,0.007046224377679487,-0.9291080832481384,0.8193415403366089,141
2023-01-19,5.541139125823975,0.039298859048396986,-5.499288558959961,0.8394479751586914,141
2023-01-20,1.622169017791748,0.011504744807033673,-1.5745620727539062,0.8381587266921997,141
2023-01-23,0.18524855375289917,0.0013138195301624054,-0.2898421585559845,0.8031971454620361,141
2023-01-24,0.26703745126724243,0.0018938826331010101,-0.29994675517082214,0.8036448955535889,141
2023-01-25,-0.011868715286254883,-8.417528571811974e-05,-0.15357720851898193,0.8206906318664551,141
2023-01-26,0.4295612573623657,0.003046533740158622,-0.43582287430763245,0.7954362630844116,141
2023-01-27,0.2618725299835205,0.001857251985698727,-0.33049270510673523,0.806039571762085,141
2023-01-30,-0.08162945508956909,-0.0005789323055997808,-0.07415498048067093,0.8171379566192627,141
2023-01-31,1.6446152925491333,0.011663938245029315,-1.3260465860366821,0.8261958360671997,141
2023-02-01,0.2711028456687927,0.0019227152175091682,-0.3480285704135895,0.809647798538208,141
2023-02-02,7.588669776916504,0.05382035302777662,-6.106651782989502,0.8244971036911011,141
2023-02-03,5.964962959289551,0.042304701838932986,-4.646136283874512,0.8496358394622803,141
2023-02-06,0.8057363629341125,0.005714442290312855,-0.7065379619598389,0.8031811714172363,141
2023-02-07,0.10037398338317871,0.0007118722225757355,-0.23599392175674438,0.8311686515808105,141
2023-02-08,1.21043062210083,0.00858461434114064,-1.0877901315689087,0.8175140619277954,141
2023-02-09,1.0460209846496582,0.007418588543614597,-0.7801194190979004,0.8368931412696838,141
2023-02-10,0.9251694679260254,0.0065614855881278395,-0.8251296281814575,0.8127797842025757,141
2023-02-13,0.8430944681167603,0.005979393390899009,-0.6478909850120544,0.796549916267395,141
2023-02-14,0.17637819051742554,0.001250909152605855,-0.24510706961154938,0.8129372596740723,141
2023-02-15,1.8421002626419067,0.013064540869800757,-1.3924731016159058,0.8076082468032837,141
2023-02-16,1.5783979892730713,0.01119431198066008,-1.2220548391342163,0.7996222972869873,141
2023-02-17,-0.10890418291091919,-0.0007723700915668027,-0.10670869052410126,0.7981586456298828,141
2023-02-22,0.4251827001571655,0.0030154801429586207,-0.3890599012374878,0.8127005696296692,141
2023-02-23,0.9323166012763977,0.006612174477137573,-0.7049516439437866,0.7958014011383057,141
2023-02-24,2.7743232250213623,0.01967605124128626,-1.8213189840316772,0.798877477645874,141
2023-02-27,2.2720179557800293,0.01611360252326262,-1.7784360647201538,0.8038668632507324,141
2023-02-28,-0.060045063495635986,-0.0004258515141534467,-0.09074559807777405,0.8047151565551758,141
2023-03-01,44.81321334838867,0.3178242081446005,-38.7692756652832,0.8660300970077515,141
2023-03-02,3.669029951095581,0.026021489014862276,-2.8681182861328125,0.8138758540153503,141
2023-03-03,0.34270113706588745,0.0024305045181977833,-0.3773009479045868,0.8138174414634705,141
2023-03-06,0.20752793550491333,0.0014718293298220803,-0.25877776741981506,0.8423709869384766,141
2023-03-07,3.235248327255249,0.02294502359755496,-2.557293653488159,0.8055691719055176,141
2023-03-08,5.011980056762695,0.03554595784938082,-3.986271381378174,0.8492625951766968,141
2023-03-09,5.384373664855957,0.03818704726848197,-4.618281364440918,0.8520860075950623,141
2023-03-10,0.6325060129165649,0.004485858247635212,-0.5420342683792114,0.8492516279220581,141
2023-03-13,1.5741865634918213,0.011164443712707953,-1.2427994012832642,0.8009299635887146,141
2023-03-14,-0.14508217573165894,-0.0010289516009337513,-0.028080493211746216,0.8175452351570129,141
2023-03-15,0.037913501262664795,0.0002688900798770553,-0.14651226997375488,0.8179895877838135,141
2023-03-16,1.2423272132873535,0.008810831299910308,-1.0554667711257935,0.8056422472000122,141
2023-03-17,0.2105187177658081,0.001493040551530554,-0.13170570135116577,0.8435226082801819,141
2023-03-20,20.094207763671875,0.14251211179909132,-16.20429801940918,0.8458737134933472,141
2023-03-21,-0.25423818826675415,-0.0018031077182039301,-0.0023485831916332245,0.7964801788330078,141
2023-03-22,0.5495445132255554,0.0038974788172025207,-0.5225964188575745,0.7995635271072388,141
2023-03-23,0.535007655620575,0.0037943805363161343,-0.22914204001426697,0.9097277522087097,141
2023-03-24,18.58126449584961,0.13178201770106107,-14.30627155303955,0.8174647688865662,141
2023-03-27,-0.2380506992340088,-0.0016883028314468708,-0.0336679182946682,0.7968523502349854,141
2023-03-28,0.5361936092376709,0.0038027915548770985,-0.5572788715362549,0.8181471824645996,141
2023-03-29,0.2310783863067627,0.0016388538035940617,-0.37837380170822144,0.8588021397590637,141
2023-03-30,0.6490827798843384,0.0046034239708109105,-0.5039071440696716,0.807182252407074,141
2023-03-31,-0.02308112382888794,-0.0001636959136800563,-0.03439243137836456,0.8203593492507935,141
2023-04-03,2.328000783920288,0.016510643857590695,-1.7981537580490112,0.8217521905899048,141
2023-04-04,0.7593485116958618,0.005347524730252548,-0.6763922572135925,0.8122506141662598,142
2023-04-05,51.33810806274414,0.36153597227284606,-49.86699295043945,0.9318850040435791,142
2023-04-06,0.7850845456123352,0.005528764405720671,-0.6492362022399902,0.7957935333251953,142
2023-04-10,0.4821041226387024,0.0033950994552021294,-0.48742035031318665,0.8000847101211548,142
2023-04-11,11.055679321289062,0.07785689662879622,-8.926671981811523,0.9198318123817444,142
