quantile,theoretical,empirical,error,kupiec_lr,kupiec_p,kupiec_reject,christoffersen_lr,christoffersen_p,christoffersen_reject
0.01,0.01,0.089140574172325,0.079140574172325,25998.726534735186,0.0,True,1219.4838782539591,0.0,True
0.05,0.05,0.14612713161246577,0.09612713161246576,14323.171579656064,0.0,True,1943.2641878090217,0.0,True
0.1,0.1,0.19039502982653875,0.09039502982653874,8055.155409868206,0.0,True,2540.5728372329904,0.0,True
