Model,NLL_joint,NLL_ind,CovMSE,VaR_q01_err,VaR_q05_err,VaR_q10_err,Sharpe,Ann.Ret,MaxDrawdown
NeuralFactors,-1332.6589,-3.6895,0.000000,0.0011,0.0309,0.0719,0.09,1.44%,-26.96%
PPCA,219.2877,0.7467,0.000000,0.0020,0.0173,0.0404,0.55,5.69%,-13.13%
