date,nll_joint,nll_ind,log_p_r_z,kl,n_stocks
2023-01-02,-1100.7328171334043,-2.9274808966313945,1113.9610595703125,13.46607297127431,376
2023-01-03,-1121.1270590247561,-2.9817209016615855,1133.879638671875,13.022866269776591,376
2023-01-04,-1243.1816429087373,-3.3690559428421065,1254.795166015625,12.29841341620474,369
2023-01-05,-1181.123100278765,-3.2095736420618612,1193.9071044921875,12.968319260790201,368
2023-01-06,-1219.4264206555079,-3.269239733660879,1231.9976806640625,12.96248965478922,373
2023-01-09,-1314.3510129622375,-3.504936034565967,1326.8524169921875,12.851419625706619,375
2023-01-10,-1167.6149174810782,-3.0971217970320377,1180.1641845703125,12.816362399152167,377
2023-01-11,-1255.358806692289,-3.3210550441594946,1268.01025390625,12.943070802467536,378
2023-01-12,-1229.7059802436504,-3.2446068080307398,1242.4114990234375,13.061242360745892,379
2023-01-13,-1223.578282810089,-3.306968331919159,1236.17041015625,12.805729442215926,370
2023-01-16,-1192.7622966814124,-3.20635025989627,1205.1749267578125,12.709800470776289,372
2023-01-17,-1239.9305497193059,-3.3331466390303923,1252.466796875,12.815798137198982,372
2023-01-18,-1246.0556989408938,-3.367718105245659,1258.58837890625,12.752879485288148,370
2023-01-19,-1305.8457656883327,-3.548493928500904,1318.5040283203125,12.836801391176223,368
2023-01-20,-1212.0937852269535,-3.3208048910327492,1224.5443115234375,12.783549232523047,365
2023-01-23,-1212.774168326586,-3.3135906238431314,1225.44970703125,12.886475424967662,366
2023-01-24,-1257.879290972931,-3.3813959434756207,1270.38525390625,12.77507801783597,372
2023-01-25,-1254.8798812611628,-3.3642892259012407,1267.2139892578125,12.60826607486196,373
2023-01-26,-1290.3557581194377,-3.5546990581802693,1302.98583984375,12.824713357792694,363
2023-01-27,-1254.5725115582281,-3.409164433582142,1267.0687255859375,12.715111821149238,368
2023-01-30,-1271.9975424331967,-3.419348232347303,1284.6214599609375,12.86265410579962,372
2023-01-31,-1199.413790582149,-3.1730523560374313,1211.781494140625,12.60838783616514,378
2023-02-01,-1220.966230590838,-3.2821672865345106,1233.7584228515625,13.03558334976992,372
2023-02-02,-1212.605061464938,-3.2422595226335242,1225.4927978515625,13.09489433808205,374
2023-02-03,-1176.999662447391,-3.1810801687767327,1189.4468994140625,12.794081414004895,370
2023-02-06,-1242.1988114914413,-3.366392443066237,1254.7266845703125,12.769848094309083,369
2023-02-07,-1244.6014608915398,-3.354720918845121,1257.2388916015625,12.900118840066046,371
2023-02-08,-1201.4259248198944,-3.3188561459113104,1213.822998046875,12.706729107107085,362
