date,mse_cov,n_stocks
2023-01-30,5.005612404945501e-07,272
2023-01-31,4.984583710152911e-07,272
2023-02-01,5.101038915380877e-07,272
2023-02-02,4.563522256093397e-07,272
2023-02-03,4.991921238295229e-07,272
2023-02-06,4.967901640189691e-07,271
2023-02-07,4.051881221621978e-07,271
2023-02-08,4.2572190504514734e-07,271
2023-02-09,1.5446401444051425e-07,271
2023-02-10,1.5009968607783915e-07,271
2023-02-13,1.2271542055569913e-07,272
2023-02-14,2.3127653126367236e-07,272
2023-02-15,1.6244458980046243e-07,272
2023-02-16,1.50211384950379e-07,272
2023-02-17,1.4242531111817817e-07,272
2023-02-22,1.4743127498408458e-07,270
2023-02-23,1.3345616889167e-07,271
2023-02-24,1.1750016704132879e-07,270
2023-02-27,1.1790853767296242e-07,270
2023-02-28,1.174200985793032e-07,270
2023-03-01,1.3668018024271477e-07,270
2023-03-02,1.0790356040244484e-07,270
2023-03-03,1.1317550711545338e-07,269
2023-03-06,1.3899081016379434e-07,270
2023-03-07,1.2983414462600456e-07,270
2023-03-08,1.6810464286116472e-07,270
2023-03-09,1.867026345057546e-07,269
2023-03-10,1.8049153079928564e-07,268
2023-03-13,1.6156148472473646e-07,268
2023-03-14,1.6423375603406073e-07,268
2023-03-15,1.6338112963883528e-07,268
2023-03-16,1.3605910963507662e-07,268
2023-03-17,1.2998610061975993e-07,270
2023-03-20,1.4430523156933853e-07,270
2023-03-21,1.4299338509225683e-07,270
2023-03-22,1.398806669730266e-07,272
2023-03-23,1.7987784391543354e-07,270
2023-03-24,2.043077404184444e-07,270
2023-03-27,2.07269147403886e-07,270
2023-03-28,2.1408334182516903e-07,270
2023-03-29,2.2793026917783883e-07,270
2023-03-30,2.2075351582033874e-07,270
2023-03-31,2.238250529261036e-07,270
2023-04-03,2.1509330970531093e-07,268
2023-04-04,2.0953547413185288e-07,268
2023-04-05,3.6340106249755565e-07,268
2023-04-06,2.490584305900789e-07,266
2023-04-10,2.459386671512886e-07,266
2023-04-11,3.4390516265616396e-07,266
2023-04-12,3.522804105180216e-07,266
2023-04-13,3.5470665953123136e-07,266
2023-04-14,3.519506881047697e-07,266
2023-04-17,3.290376467013031e-07,266
2023-04-18,3.2062782149833375e-07,267
2023-04-19,3.559117350683408e-07,267
2023-04-20,3.60227714478933e-07,267
2023-04-24,1.250782809605512e-06,268
2023-04-25,4.5607430832618883e-07,269
2023-04-26,4.490511425087025e-07,271
2023-04-27,5.471593556390998e-07,272
2023-04-28,5.354525579531894e-07,273
2023-05-02,6.132661792481249e-07,272
2023-05-03,5.654081399801603e-07,272
2023-05-04,5.478682403756212e-07,274
2023-05-05,5.857196339923655e-07,273
2023-05-08,4.5425117708160174e-07,273
2023-05-09,4.539111134485755e-07,273
2023-05-10,4.611805498130007e-07,272
2023-05-11,4.1162606619975224e-07,272
2023-05-12,4.057953077495995e-07,272
2023-05-15,4.059984243813283e-07,271
2023-05-16,4.445122641035482e-07,271
2023-05-17,4.5591559038745676e-07,272
2023-05-18,4.62579155388499e-07,272
2023-05-19,4.269809532119981e-07,271
2023-05-22,4.31719943547214e-07,272
2023-05-23,1.704849875310157e-07,271
2023-05-24,1.567565137057919e-07,270
2023-05-25,1.4838805859771639e-07,270
2023-05-26,1.4898620188194423e-07,271
2023-05-29,1.4296613800890847e-07,269
2023-05-30,1.2923079985198572e-07,270
2023-05-31,1.2251301298490526e-07,274
2023-06-01,1.1241046256971537e-07,276
2023-06-02,1.0399841730011184e-07,276
2023-06-05,1.0616974844305945e-07,277
2023-06-06,1.0781541656865447e-07,278
2023-06-07,1.0342290417169229e-07,278
2023-06-09,9.908554925740542e-08,278
2023-06-12,9.639206108875245e-08,278
2023-06-13,1.1139523121403611e-07,279
2023-06-14,8.922116478538792e-08,278
2023-06-15,7.429335199027333e-08,279
2023-06-16,7.185728181092704e-08,279
2023-06-19,9.09935378635375e-08,279
2023-06-20,1.0624686583959728e-07,279
2023-06-21,1.019916476884927e-07,280
2023-06-22,1.1428891745936163e-07,280
2023-06-23,1.080161412121658e-07,279
2023-06-26,1.1602977302326994e-07,279
2023-06-27,1.3038593432835967e-07,279
2023-06-28,1.2347588507001084e-07,279
2023-06-29,1.4091108804336307e-07,278
2023-06-30,1.347611118329922e-07,278
2023-07-03,1.3178952776998031e-07,280
2023-07-04,1.2792525693706398e-07,280
2023-07-05,1.1951794071579013e-07,277
2023-07-06,1.3329306632045623e-07,277
2023-07-07,1.371218212416817e-07,277
2023-07-10,1.388328183198833e-07,277
2023-07-11,1.2267191831208108e-07,278
2023-07-12,1.1441286911030073e-07,278
2023-07-13,1.1498333230173957e-07,277
2023-07-14,1.2405134833964687e-07,278
2023-07-17,1.0416540778158561e-07,279
2023-07-18,1.0078669722862393e-07,279
2023-07-19,8.586665804565309e-08,278
2023-07-20,7.046264011792101e-08,278
2023-07-21,7.367366499965223e-08,278
2023-07-24,7.539511636234713e-08,278
2023-07-25,6.21231823637399e-08,277
2023-07-26,5.7065612301322334e-08,277
2023-07-27,4.895360445584885e-08,278
2023-07-28,4.521399944221233e-08,277
2023-07-31,4.41765437241464e-08,277
2023-08-01,4.3770615455052114e-08,276
2023-08-02,4.175986094255457e-08,277
2023-08-03,3.505613645295029e-08,276
2023-08-04,3.198896311685286e-08,276
2023-08-07,3.1667135008515806e-08,276
2023-08-08,4.023282161523938e-08,275
2023-08-09,3.412803361903395e-08,275
2023-08-10,3.644762123272667e-08,275
2023-08-11,3.412904276769795e-08,275
2023-08-14,4.2909261655761894e-08,276
2023-08-15,4.485436849268126e-08,276
2023-08-16,5.2456585841711914e-08,277
2023-08-17,5.385774709971854e-08,277
2023-08-18,5.2695535175929866e-08,277
