date,mse_cov,n_stocks
2023-01-30,5.059996765965797e-07,272
2023-01-31,5.047817644698009e-07,272
2023-02-01,5.155392930236756e-07,272
2023-02-02,4.798422274573475e-07,272
2023-02-03,4.995735761545012e-07,272
2023-02-06,5.012128496750683e-07,271
2023-02-07,4.5665882503180104e-07,271
2023-02-08,4.5673470070480663e-07,271
2023-02-09,1.5171867977232235e-07,271
2023-02-10,1.5023843523519115e-07,271
2023-02-13,1.258199427045242e-07,272
2023-02-14,1.8359702151217366e-07,272
2023-02-15,1.640097256814814e-07,272
2023-02-16,1.506785075242308e-07,272
2023-02-17,1.4266292424846322e-07,272
2023-02-22,1.4761619357469423e-07,270
2023-02-23,1.33743894774947e-07,271
2023-02-24,1.1765504261918795e-07,270
2023-02-27,1.182338062928641e-07,270
2023-02-28,1.1752405847947151e-07,270
2023-03-01,1.3457068155314245e-07,270
2023-03-02,1.1186156300541462e-07,270
2023-03-03,1.1588089148904049e-07,269
2023-03-06,1.3735274259428206e-07,270
2023-03-07,1.3106475036276016e-07,270
2023-03-08,1.695029682013749e-07,270
2023-03-09,1.8018266965401548e-07,269
2023-03-10,1.8242703318213075e-07,268
2023-03-13,1.6184540304505756e-07,268
2023-03-14,1.6468016167568318e-07,268
2023-03-15,1.6348328013330373e-07,268
2023-03-16,1.362366354323284e-07,268
2023-03-17,1.2952787672353617e-07,270
2023-03-20,1.4313164491672903e-07,270
2023-03-21,1.4308436528490865e-07,270
2023-03-22,1.4001839959457821e-07,272
2023-03-23,1.8087352978831003e-07,270
2023-03-24,2.046272122588963e-07,270
2023-03-27,2.0748321504892136e-07,270
2023-03-28,2.1484039527070425e-07,270
2023-03-29,2.155550933391665e-07,270
2023-03-30,2.2123216150650212e-07,270
2023-03-31,2.240889472649404e-07,270
2023-04-03,2.104717176498309e-07,268
2023-04-04,2.0917621605529705e-07,268
2023-04-05,3.6443060837716855e-07,268
2023-04-06,2.4917895170663815e-07,266
2023-04-10,2.465241682656496e-07,266
2023-04-11,3.4541818457195636e-07,266
2023-04-12,3.5306918824575776e-07,266
2023-04-13,3.5512135993295367e-07,266
2023-04-14,3.52078031338728e-07,266
2023-04-17,3.309010459408006e-07,266
2023-04-18,3.207891098642727e-07,267
2023-04-19,3.5651390118111266e-07,267
2023-04-20,3.604720325493375e-07,267
2023-04-24,8.16222567846441e-07,268
2023-04-25,4.592764415591007e-07,269
2023-04-26,4.6641689818060393e-07,271
2023-04-27,5.483227222257146e-07,272
2023-04-28,5.358649538508496e-07,273
2023-05-02,5.798070901381415e-07,272
2023-05-03,5.658515298326853e-07,272
2023-05-04,5.479785861727956e-07,274
2023-05-05,5.86689200258264e-07,273
2023-05-08,4.5436461182283475e-07,273
2023-05-09,4.542535659277307e-07,273
2023-05-10,4.6364388510830105e-07,272
2023-05-11,4.0571321230051787e-07,272
2023-05-12,4.0540198532948615e-07,272
2023-05-15,4.0649308466658396e-07,271
2023-05-16,4.408750314513382e-07,271
2023-05-17,4.566737155850686e-07,272
2023-05-18,4.6336349319781343e-07,272
2023-05-19,4.27121597549064e-07,271
2023-05-22,4.3195008923352884e-07,272
2023-05-23,1.7078816021174657e-07,271
2023-05-24,1.5688809902647688e-07,270
2023-05-25,1.4865144787577254e-07,270
2023-05-26,1.4925254040577271e-07,271
2023-05-29,1.4310582364774675e-07,269
2023-05-30,1.2958343411379418e-07,270
2023-05-31,1.2277628052067528e-07,274
2023-06-01,1.1302703851446152e-07,276
2023-06-02,1.0098554213285967e-07,276
2023-06-05,1.0273813667591145e-07,277
2023-06-06,1.083242393411341e-07,278
2023-06-07,1.0350126145545622e-07,278
2023-06-09,9.927546178649386e-08,278
2023-06-12,9.205054820781678e-08,278
2023-06-13,1.1166636160874944e-07,279
2023-06-14,8.394128513619458e-08,278
2023-06-15,7.447504901301256e-08,279
2023-06-16,7.205372757304829e-08,279
2023-06-19,8.726022980482516e-08,279
