date,nll_joint,nll_ind,log_p_r_z,kl,n_stocks
2023-01-02,-1126.6392174683403,-2.9963808975221817,1133.0916748046875,6.5773017861962035,376
2023-01-03,-1159.5113493546776,-3.0838067801986107,1165.1695556640625,5.880450194879391,376
2023-01-04,-1355.2698505447586,-3.6728180231565273,1360.6771240234375,5.5379334956664845,369
2023-01-05,-1242.52685690273,-3.3764316763661144,1248.336181640625,6.02166196576909,368
2023-01-06,-1298.7043708133408,-3.4817811549955517,1304.7977294921875,6.270195326355155,373
2023-01-09,-1426.2666517544858,-3.803377738011962,1431.849609375,5.849192874749292,375
2023-01-10,-1223.7207921921388,-3.2459437458677423,1229.678466796875,6.1879732676097206,377
2023-01-11,-1353.4737689654253,-3.580618436416469,1359.2371826171875,5.934571676107849,378
2023-01-12,-1328.0214692950678,-3.5040144308576986,1333.7987060546875,6.174929474367498,379
2023-01-13,-1307.055839981561,-3.532583351301516,1312.4259033203125,5.5277261466856356,370
2023-01-16,-1271.1004048402851,-3.4169365721513043,1276.257568359375,5.446296314255652,372
2023-01-17,-1317.966528364757,-3.5429207751740783,1323.3551025390625,5.5468636047348125,372
2023-01-18,-1334.7877416588829,-3.6075344369158997,1340.2239990234375,5.6219116050148275,370
2023-01-19,-1432.6710588638878,-3.893127877347521,1438.5938720703125,6.033504303270771,368
2023-01-20,-1299.3581980362255,-3.5598854740718506,1304.83447265625,5.748763570223623,365
2023-01-23,-1318.2942285819754,-3.6018967994043045,1323.881103515625,5.765476627977931,366
2023-01-24,-1330.698643797608,-3.5771468919290537,1336.174560546875,5.6603573796796836,372
2023-01-25,-1346.6136717711495,-3.6102243211022773,1352.1732177734375,5.769279859814692,373
2023-01-26,-1401.1358588269782,-3.8598783989723917,1406.6358642578125,5.661190409263299,363
2023-01-27,-1342.7449579247184,-3.6487634726215172,1348.1903076171875,5.628878065376191,368
2023-01-30,-1377.5675078114796,-3.703138461858816,1383.3936767578125,5.950913498425527,372
2023-01-31,-1271.0511581658288,-3.3625692014969015,1276.170654296875,5.278752776953379,378
2023-02-01,-1308.0131443864102,-3.516164366630135,1313.47314453125,5.659849815941109,372
2023-02-02,-1298.4306073202551,-3.471739591765388,1304.4610595703125,6.158349702142775,374
2023-02-03,-1230.1477759440966,-3.3247237187678285,1235.49853515625,5.62665007459587,370
2023-02-06,-1326.1342999914764,-3.593859891575817,1331.5101318359375,5.584203733653468,369
2023-02-07,-1329.6630197964578,-3.583997357941935,1335.17919921875,5.709777118813565,371
2023-02-08,-1279.2694678640328,-3.5338935576354498,1285.0224609375,5.948545659968151,362
2023-02-09,-1174.6675221005141,-3.2359986834724905,1180.092529296875,5.655669771515859,363
2023-02-10,-1298.8571126130676,-3.491551377992117,1304.2779541015625,5.620508647930535,372
2023-02-13,-1356.1462577959442,-3.6652601562052545,1361.4310302734375,5.480052878152881,370
2023-02-14,-1330.7408715561064,-3.548642324149617,1336.478759765625,5.915891367071895,375
2023-02-15,-1229.1387480657847,-3.340050945830937,1234.7332763671875,5.735195344081421,368
2023-02-16,-1391.226481957722,-3.760071572858708,1396.9915771484375,5.948883936370237,370
2023-02-17,-1382.1656611631806,-3.755884948812991,1387.6539306640625,5.787569913414036,368
2023-02-22,-1238.0561646223834,-3.467944438718161,1243.637451171875,5.828822814223327,357
2023-02-23,-1421.506326468175,-3.790683537248467,1427.1986083984375,5.846423748350806,375
2023-02-24,-1366.8582144091722,-3.664499234340944,1372.169677734375,5.619271733525761,373
2023-02-27,-1380.1644283767303,-3.7606660173752866,1385.69970703125,5.694968331444534,367
2023-02-28,-1321.7905584450903,-3.641296304256447,1327.3795166015625,5.756853372351429,363
2023-03-01,-1217.218879108007,-3.289780754345965,1222.7767333984375,5.767588117560875,370
2023-03-02,-1315.287147039626,-3.5838886840316784,1320.8895263671875,5.7894900210775555,367
2023-03-03,-1358.326754723521,-3.701162819410139,1363.899658203125,5.74061870733414,367
2023-03-06,-1283.012780640203,-3.4489590877424807,1289.0738525390625,6.2722349212643325,372
2023-03-07,-1365.3474340428377,-3.730457470062398,1370.698974609375,5.564502662509672,366
2023-03-08,-1137.428709818063,-3.057604058650707,1143.0447998046875,5.851719892993717,372
2023-03-09,-1290.1565099339286,-3.544386016302002,1295.5955810546875,5.584462588997103,364
2023-03-10,-1267.9848114190509,-3.454999486155452,1273.1864013671875,5.438954468097645,367
2023-03-13,-1334.1021933335974,-3.6154530984650335,1339.633056640625,5.670567652744494,369
2023-03-14,-1303.4309228940085,-3.5612866745737937,1308.83447265625,5.5888021947024065,366
2023-03-15,-1317.7670940650514,-3.610320805657675,1322.83154296875,5.214779849005229,365
2023-03-16,-1321.6929235792904,-3.62107650295696,1327.049072265625,5.529703407559082,365
2023-03-17,-1144.9683405264093,-3.136899563086053,1150.0264892578125,5.233721330270834,365
2023-03-20,-1250.0205926917822,-3.378434034302114,1255.46484375,5.606068894664171,370
2023-03-21,-1354.1131493513983,-3.649900672106195,1359.625732421875,5.750864349530308,371
2023-03-22,-1367.4783750438746,-3.6369105719251986,1373.0418701171875,5.7701081280743685,376
2023-03-23,-1089.0982821944713,-2.9675702512110935,1094.5823974609375,5.653854191727391,367
2023-03-24,-1193.5989667212248,-3.2881514234744484,1199.021484375,5.57008273608882,363
2023-03-27,-1354.9523541094104,-3.6521626795401896,1360.3690185546875,5.571373911958226,371
2023-03-28,-1328.2450204614781,-3.504604275623953,1334.1815185546875,6.09479716369996,379
2023-03-29,-1338.8146452555613,-3.638083275150982,1344.046875,5.537589666637098,368
2023-03-30,-1264.8580033820763,-3.3550610169285844,1270.379638671875,5.712539256830512,377
