date,nll_joint,nll_ind,log_p_r_z,kl,n_stocks
2023-01-02,-1126.507402254132,-2.9960303251439684,1134.856201171875,8.423781694984063,376
2023-01-03,-1162.1677360948277,-3.0908716385500736,1169.774658203125,7.703577006121019,376
2023-01-04,-1382.015219413141,-3.745298697596588,1388.6859130859375,6.756463043958663,369
2023-01-05,-1255.7589771752362,-3.412388524932707,1261.0052490234375,5.30620590303765,368
2023-01-06,-1324.399250536787,-3.5506682320021095,1330.9290771484375,6.615964110510418,373
2023-01-09,-1454.6338502215756,-3.8790236005908683,1460.1873779296875,5.656861992007123,375
2023-01-10,-1247.1054654876607,-3.3079720569964475,1254.296875,7.243386200940231,377
2023-01-11,-1379.5630375048854,-3.6496376653568396,1387.5191650390625,7.9794233138971,378
2023-01-12,-1348.884831295683,-3.5590628794081343,1356.490966796875,7.716145979739306,379
2023-01-13,-1333.3330619615888,-3.603602870166456,1340.7718505859375,7.4769272159014895,370
2023-01-16,-1288.2982427435684,-3.4631673192031407,1295.4736328125,7.244086922232992,372
2023-01-17,-1346.6879629746222,-3.620128932727479,1352.2928466796875,5.71023659308922,372
2023-01-18,-1357.0696274359643,-3.6677557498269304,1363.9654541015625,6.954437798780882,370
2023-01-19,-1462.7872760592202,-3.974965424073968,1469.1365966796875,6.421221566472989,368
2023-01-20,-1319.3582990481973,-3.614680271364924,1327.6619873046875,8.324398873006862,365
2023-01-23,-1344.7893236870195,-3.6742877696366656,1351.752685546875,6.982754700713933,366
2023-01-24,-1356.5272817416196,-3.6465787143591926,1362.841796875,6.388239396158531,372
2023-01-25,-1369.3447991368485,-3.6711656813320332,1375.2923583984375,6.00419110808431,373
2023-01-26,-1431.9482213134477,-3.9447609402574315,1438.337158203125,6.443090921391972,363
2023-01-27,-1368.4317212484066,-3.7185644599141483,1375.478515625,7.113331312720742,368
2023-01-30,-1401.6721027367187,-3.7679357600449426,1408.8734130859375,7.226473920152698,372
2023-01-31,-1291.3241622005933,-3.416201487303157,1298.2283935546875,6.935727228367394,378
2023-02-01,-1324.9373673971052,-3.5616595897771646,1332.135009765625,7.22984745632933,372
2023-02-02,-1322.406821626825,-3.5358471166492644,1329.1658935546875,6.780955257008235,374
2023-02-03,-1232.0722062664533,-3.3299248818012255,1239.5999755859375,7.5738289268482495,370
2023-02-06,-1339.4093083976734,-3.629835524112936,1345.9735107421875,6.617247564421975,369
2023-02-07,-1348.669958269648,-3.6352289980313963,1355.8692626953125,7.280558854879096,371
2023-02-08,-1306.6237750371213,-3.6094579420914954,1312.7098388671875,6.1169753103336495,362
2023-02-09,-1181.1993018526691,-3.2539925670872427,1189.3216552734375,8.182262739566381,363
2023-02-10,-1316.6913956993824,-3.539492999191888,1323.975830078125,7.320364626661848,372
2023-02-13,-1380.754055800026,-3.731767718378449,1388.2601318359375,7.541907908575157,370
2023-02-14,-1359.848661870026,-3.626263098320069,1367.1644287109375,7.374509574912047,375
2023-02-15,-1244.5529639666872,-3.381937402083389,1251.1995849609375,6.6975242813064515,368
2023-02-16,-1418.0934878780645,-3.8326851023731474,1424.7115478515625,6.673622439092741,370
2023-02-17,-1408.5210370947655,-3.8275028181922974,1415.9395751953125,7.46265450181383,368
2023-02-22,-1258.54024916885,-3.5253228268035017,1266.1043701171875,7.6058978649552955,357
2023-02-23,-1454.488562765915,-3.8786361673757734,1461.1060791015625,6.65359186580639,375
2023-02-24,-1382.775448919665,-3.707172785307413,1389.568359375,6.8367341873561776,373
2023-02-27,-1412.0448985305788,-3.8475337834620675,1419.7796630859375,7.795220246241533,367
2023-02-28,-1339.3639797046555,-3.6897079330706766,1347.0555419921875,7.714275205647522,363
2023-03-01,-1232.440621000106,-3.3309205972975837,1240.1795654296875,7.75758216342435,370
2023-03-02,-1338.0779703555677,-3.645989020042419,1344.5838623046875,6.577498683788211,367
2023-03-03,-1388.9985539780782,-3.7847372042999408,1396.0120849609375,7.068714773955439,367
2023-03-06,-1303.9896523029995,-3.5053485276962353,1308.970703125,5.046527399731168,372
2023-03-07,-1394.269397952425,-3.8094792293782103,1400.6531982421875,6.481559249496858,366
2023-03-08,-1144.936707173491,-3.077786847240567,1151.921630859375,7.035280127800916,372
2023-03-09,-1310.556782557014,-3.600430721310478,1317.3731689453125,6.898631858104332,364
2023-03-10,-1282.6700317960024,-3.4950137106158103,1289.8392333984375,7.262511843550707,367
2023-03-13,-1358.9880830698824,-3.682894534064722,1366.730224609375,7.809079669338472,369
2023-03-14,-1321.3453048751167,-3.6102330734292805,1328.75439453125,7.436310172210739,366
