date,mse_cov,n_stocks
2023-01-30,5.462662271926093e-07,272
2023-01-31,6.619822780724613e-07,272
2023-02-01,6.314755347101163e-07,272
2023-02-02,1.8338874851261121e-06,272
2023-02-03,6.503813955121711e-07,272
2023-02-06,7.34404512089601e-07,271
2023-02-07,5.067623500240407e-07,271
2023-02-08,5.29125373456394e-07,271
2023-02-09,4.209367728622546e-07,271
2023-02-10,4.050632657338447e-07,271
2023-02-13,6.590318665792918e-07,272
2023-02-14,8.051304630006136e-07,272
2023-02-15,5.068086833165752e-07,272
2023-02-16,3.3153062816357064e-07,272
2023-02-17,3.373396378735493e-07,272
2023-02-22,3.0791775034296847e-07,270
2023-02-23,3.6524137227161356e-07,271
2023-02-24,3.610338878171953e-07,270
2023-02-27,3.687555434762395e-07,270
2023-02-28,3.3918031413504656e-07,270
2023-03-01,6.92368816321646e-07,270
2023-03-02,3.9369087711010426e-07,270
2023-03-03,5.026218595163096e-07,269
2023-03-06,3.0984110203854936e-06,270
2023-03-07,3.9393969680994847e-07,270
2023-03-08,4.6136165099362105e-07,270
2023-03-09,3.29084599618755e-06,269
2023-03-10,5.34011503747604e-07,268
2023-03-13,3.8085435115968623e-07,268
2023-03-14,4.1675104640056506e-07,268
