date,return,eff_n
2023-01-03,-0.02457542045117344,141.99999999999997
2023-01-04,0.012287862241451801,141.99999999999997
2023-01-05,0.021242674239697987,141.99999999999997
2023-01-06,0.014202169347620034,141.99999999999997
2023-01-09,0.003006981005429799,140.99999999999994
2023-01-10,0.02626284813642146,140.99999999999991
2023-01-11,0.012892576617334072,140.99999999999991
2023-01-12,-0.01911904568724493,140.99999999999991
2023-01-13,-0.013757208842744542,140.99999999999991
2023-01-16,-0.013842218265916613,140.99999999999991
2023-01-17,0.013745247596315055,140.99999999999991
2023-01-18,0.010107163904178625,140.99999999999991
2023-01-19,-0.001839675772555357,140.99999999999991
2023-01-20,-0.006647236206806564,140.99999999999991
2023-01-23,0.0003757249586224715,140.99999999999991
2023-01-24,0.01556341663202773,140.99999999999991
2023-01-25,0.014517550803357676,140.99999999999991
2023-01-26,0.0024437236105065464,140.99999999999991
2023-01-27,-0.008406198094764079,140.99999999999991
2023-01-30,-0.004827588648413117,140.99999999999991
2023-01-31,0.02066892835467225,140.99999999999991
2023-02-01,-0.005006295959101924,140.99999999999991
2023-02-02,-0.00752253765207286,140.99999999999991
2023-02-03,-0.02873895714779431,140.99999999999991
2023-02-06,-0.007230716803712204,140.99999999999991
2023-02-07,-0.014760932791812996,140.99999999999991
2023-02-08,0.01095945484059407,140.99999999999991
2023-02-09,-0.027193063548898184,140.99999999999991
2023-02-10,0.005852887798298865,140.99999999999991
2023-02-13,0.003950592442721142,140.99999999999991
2023-02-14,-0.014782983802898017,140.99999999999991
2023-02-15,0.02167373559960323,140.99999999999991
2023-02-16,0.003739617861343338,140.99999999999991
2023-02-17,-0.004262356720109314,140.99999999999991
2023-02-22,-0.015783340528158222,140.99999999999991
2023-02-23,-0.0020386900588480346,140.99999999999991
2023-02-24,-0.012035897354791866,140.99999999999991
2023-02-27,-0.0030357201929626905,140.99999999999991
2023-02-28,-0.006686016973578669,140.99999999999991
2023-03-01,-0.018256687164118393,140.99999999999991
2023-03-02,-0.0055038362466119225,140.99999999999991
2023-03-03,0.0020312247228154797,140.99999999999991
2023-03-06,0.01847710513224138,140.99999999999991
2023-03-07,0.0019440853087717002,140.99999999999991
2023-03-08,0.03532328282636492,140.99999999999991
2023-03-09,-0.0027646175998507455,140.99999999999991
2023-03-10,-0.016532027115962793,140.99999999999991
2023-03-13,-0.0005967480273742285,140.99999999999991
2023-03-14,-0.010108378512086348,140.99999999999991
2023-03-15,0.0010228652109933612,140.99999999999991
2023-03-16,0.010601865715125964,140.99999999999991
2023-03-17,-0.019199607409173564,140.99999999999991
2023-03-20,-0.024664771077858878,140.99999999999991
2023-03-21,-0.005680512818953698,140.99999999999991
2023-03-22,-0.001011632392777408,140.99999999999991
2023-03-23,-0.03417651181840768,140.99999999999991
2023-03-24,0.02001042424305673,140.99999999999991
2023-03-27,0.006548477216220811,140.99999999999991
2023-03-28,0.014379217831421223,140.99999999999991
2023-03-29,-0.007126860792008856,140.99999999999991
2023-03-30,0.02359878029905472,140.99999999999991
2023-03-31,-0.013688284490944436,140.99999999999991
2023-04-03,-0.01640292807814091,140.99999999999991
2023-04-04,0.005359719837652453,140.99999999999991
2023-04-05,-0.004877290925794799,141.99999999999997
2023-04-06,0.0003873933017299788,141.99999999999997
2023-04-10,0.0027346442733123936,141.99999999999997
2023-04-11,0.04871380529620581,141.99999999999997
2023-04-12,0.012947297259479839,141.99999999999997
2023-04-13,0.0021551791629770413,141.99999999999997
2023-04-14,-0.0064697802133618825,141.99999999999997
2023-04-17,-0.0010635813371881742,141.99999999999997
2023-04-18,-0.01201150024147429,141.99999999999997
2023-04-19,-0.028707275080820875,141.99999999999997
2023-04-20,0.009433242984273484,141.99999999999997
