date,nll_joint,nll_ind,log_p_r_z,kl,n_stocks
2023-01-02,0.036321163177490234,0.00012066831620428649,-0.03650008141994476,1.5883163213729858,301
2023-01-03,-0.05605125427246094,-0.0001843791258962531,-0.031972456723451614,1.5921359062194824,304
2023-01-04,-0.38686370849609375,-0.001293858556843123,-0.0022104305680841208,1.5844186544418335,299
2023-01-05,0.33489012718200684,0.0011352207701084977,-0.35408541560173035,1.5950665473937988,295
2023-01-06,-0.012299776077270508,-4.1274416366679556e-05,-0.12431515008211136,1.5884532928466797,298
2023-01-09,-0.3763241767883301,-0.0012419939827997691,-0.03140314295887947,1.584352970123291,303
2023-01-10,-0.09570586681365967,-0.000314821930308091,-0.024202562868595123,1.5897011756896973,304
2023-01-11,0.585922360420227,0.0019401402662921426,-0.3615085482597351,1.5840904712677002,302
2023-01-12,0.2713712453842163,0.0008956146712350374,-0.5334736108779907,1.6126999855041504,303
2023-01-13,0.9523617029190063,0.0032283447556576486,-0.5556545853614807,1.582881212234497,295
2023-01-16,-0.21956336498260498,-0.000736789815377869,-0.016758793964982033,1.5872811079025269,298
2023-01-17,-0.3605724573135376,-0.0011979151405765369,-0.007658887188881636,1.583888292312622,301
2023-01-18,2.849602460861206,0.009530443012913732,-1.3771828413009644,1.5868052244186401,299
2023-01-19,-0.0856773853302002,-0.000287508004463759,-0.2365429699420929,1.5879878997802734,298
2023-01-20,5.142528533935547,0.01725680716085754,-3.148244619369507,1.5866875648498535,298
2023-01-23,0.1387495994567871,0.0004719374131183235,-0.22279173135757446,1.5834206342697144,294
2023-01-24,-0.2181990146636963,-0.0007249136699790575,-0.06540678441524506,1.586242914199829,301
2023-01-25,0.1775439977645874,0.0005977912382646041,-0.28449544310569763,1.5900087356567383,297
2023-01-26,2.0520215034484863,0.007003486359892445,-0.9907119274139404,1.5838165283203125,293
2023-01-27,1.831809163093567,0.006126452050480157,-0.9529155492782593,1.5832970142364502,299
2023-01-30,-0.1072462797164917,-0.00035988684468621373,-0.13200576603412628,1.5846104621887207,298
2023-01-31,7.616255283355713,0.02530317369885619,-4.345858097076416,1.586799144744873,301
2023-02-01,-0.329007625579834,-0.0011003599517720201,-0.006581805180758238,1.589231252670288,299
2023-02-02,1.7170697450637817,0.005704550648052431,-1.197301983833313,1.5904141664505005,301
2023-02-03,1.161790132522583,0.0038855857275002775,-0.562378466129303,1.5836904048919678,299
2023-02-06,2.0980911254882812,0.007017027175546091,-1.2133208513259888,1.5834672451019287,299
2023-02-07,0.01773989200592041,5.9132973353068036e-05,-0.1962900459766388,1.5840098857879639,300
2023-02-08,-0.35204458236694336,-0.0011974305522685148,-0.0065077501349151134,1.5857808589935303,294
2023-02-09,1.4735780954360962,0.004978304376473298,-0.8364160060882568,1.5853776931762695,296
2023-02-10,1.9309117794036865,0.006436372598012288,-1.1753283739089966,1.583368182182312,300
2023-02-13,-0.36765992641448975,-0.0012255330880482991,-0.00812295638024807,1.5849865674972534,300
2023-02-14,-0.26916801929473877,-0.0009032483868950965,-0.014987180940806866,1.5886892080307007,298
2023-02-15,-0.16035842895507812,-0.0005399273702191182,-0.0106978053227067,1.587907075881958,297
2023-02-16,-0.22577917575836182,-0.0007525972525278727,-0.07887916266918182,1.5846670866012573,300
2023-02-17,-0.1968228816986084,-0.0006560762723286947,-0.12850357592105865,1.5867340564727783,300
2023-02-22,0.5041378736495972,0.00173840646086068,-0.33883389830589294,1.5835366249084473,290
2023-02-23,-0.3947402238845825,-0.001320201417674189,-0.015020021237432957,1.5822381973266602,299
2023-02-24,-0.2193160057067871,-0.0007310533523559571,-0.0885576456785202,1.584172248840332,300
2023-02-27,-0.3995405435562134,-0.0013362559985157637,-0.005731194745749235,1.5858395099639893,299
2023-02-28,-0.3249620199203491,-0.0011053129929263575,-0.009917110204696655,1.5823969841003418,294
2023-03-01,-0.10499429702758789,-0.00034998099009195965,-0.011394903995096684,1.5872350931167603,300
2023-03-02,0.08496701717376709,0.00028417062599922103,-0.1946362406015396,1.5840003490447998,299
2023-03-03,0.21098220348358154,0.0007151939101138358,-0.26962658762931824,1.584212303161621,295
2023-03-06,-0.2147444486618042,-0.0007110743333172324,-0.018449638038873672,1.592544436454773,302
2023-03-07,-0.39784765243530273,-0.0013395543853040497,-0.006685115862637758,1.5853694677352905,297
2023-03-08,0.07823407649993896,0.00026078025499979657,-0.0423547625541687,1.5892115831375122,300
2023-03-09,4.1261796951293945,0.013987049813997947,-2.916402578353882,1.5912891626358032,295
2023-03-10,-0.1580735445022583,-0.0005304481359136185,-0.05255782976746559,1.5846694707870483,298
2023-03-13,-0.11953163146972656,-0.00040657017506709714,-0.0908762514591217,1.5811591148376465,294
2023-03-14,0.6020752191543579,0.002027189290082013,-0.4643591046333313,1.586251974105835,297
2023-03-15,-0.06555306911468506,-0.00022373061131291828,-0.13554605841636658,1.5832500457763672,293
2023-03-16,-0.3553798198699951,-0.001204677355491509,-0.008779211901128292,1.5839594602584839,295
2023-03-17,1.9363906383514404,0.0065418602647008125,-1.1665979623794556,1.5877351760864258,296
2023-03-20,-0.08846592903137207,-0.000295872672345726,-0.04054994508624077,1.5843256711959839,299
2023-03-21,0.33675169944763184,0.001130039259891382,-0.2659362554550171,1.5832979679107666,298
2023-03-22,0.02066636085510254,6.820581140297868e-05,-0.15570826828479767,1.5856643915176392,303
2023-03-23,0.03596818447113037,0.0001215141367267918,-0.010576646775007248,1.589152216911316,296
2023-03-24,1.6158673763275146,0.005496147538528962,-0.9618671536445618,1.585849642753601,294
2023-03-27,1.3019273281097412,0.00436888365137497,-0.6465346217155457,1.5855629444122314,298
2023-03-28,-0.2853003740310669,-0.000954181852946712,-0.018388614058494568,1.5869327783584595,299
2023-03-29,1.3674216270446777,0.004573316478410293,-1.1152300834655762,1.5934034585952759,299
2023-03-30,-0.06352543830871582,-0.00021104796780304258,-0.08073969185352325,1.5855863094329834,301
