date,return,eff_n
2023-01-03,-0.0237068631819185,19.92802922528967
2023-01-04,0.008086380682565796,26.791615167482014
2023-01-05,0.01915555862766432,18.61749165434645
2023-01-06,0.013717479788567927,6.1922211329169095
2023-01-09,0.022858193905324342,22.279727835808114
2023-01-10,0.021754587321301443,13.47853990801569
2023-01-11,-0.03584266007354617,10.869745915516582
2023-01-12,-0.03154740927732159,18.225484711252886
2023-01-13,-0.009193551856221078,30.784641234677977
2023-01-16,0.012762032410062253,12.191803354584593
2023-01-17,-0.008064781996214099,27.495380565795127
2023-01-18,-0.0008853670081897565,11.715126591417953
2023-01-19,-0.03120071858278823,17.335474661756784
2023-01-20,-0.011343573987588555,233.90408326520352
2023-01-23,0.01734262882787669,20.056852986674205
2023-01-24,-0.00024108908487426028,12.20402924474962
2023-01-25,-0.02608117068092686,16.164895367122078
2023-01-26,0.0027985420529897656,25.56540250786486
2023-01-27,0.02205329654699787,7.1681985758100595
2023-01-30,-0.048092590580339566,4.336387068484524
2023-01-31,-0.0012603673932943234,17.11355960501093
2023-02-01,-0.02004662610087779,19.961421103565485
2023-02-02,0.009207519241706647,22.456623798379546
2023-02-03,-0.01086741096991916,22.297923771992114
2023-02-06,-0.01939162536427125,25.151053152100516
2023-02-07,-0.01519034792787085,13.924377258618206
2023-02-08,-0.002029299962531362,19.51449794471447
2023-02-09,-0.04553977379635753,11.625411380146856
2023-02-10,0.03568898078836753,10.478166961063444
2023-02-13,0.013600848893520074,19.520895706779136
2023-02-14,-0.027300689045966112,10.608671242453472
2023-02-15,0.021201088641886908,28.93553665168417
2023-02-16,0.004491663041787873,14.428801882908997
2023-02-17,0.00035691256247152706,16.35758620685632
2023-02-22,-0.01787709674666596,17.448776226942776
2023-02-23,-0.011358011112011358,22.69336274487764
2023-02-24,0.013407986581805934,12.067455551951813
2023-02-27,0.0011378977002396199,195.30940371839517
2023-02-28,0.008801260792747335,18.233938600590328
2023-03-01,-0.04657222273217465,9.603091186523654
2023-03-02,-0.007394524999646536,48.543240669923534
2023-03-03,0.027626549599199333,18.807847797958804
2023-03-06,-0.005322938719187417,17.369686288496673
2023-03-07,0.014290542170412736,20.96830538501219
2023-03-08,0.06479543649206879,8.765644371034574
2023-03-09,0.01995593745037128,10.156588057978231
2023-03-10,-0.0068363280609524905,25.15261780406166
2023-03-13,-0.012907428736207557,19.989068579116996
2023-03-14,0.02570839197378251,13.954902586457257
