DATES;VIX;MXEF;BCOMTR;IFIX;SW002766;SPUHYBDT;IDEBB3
10/03/2005;0,045547246770904146;0,1286606971602782;0,44419861413120926;0,007528293293427368;;0,07714985374948227;0,0
11/03/2005;0,049762066621346024;0,13193147518145748;0,45272318409530016;0,007528293293427368;;0,07681362907636335;0,0
14/03/2005;0,04418762746430999;0,12411794990864028;0,45297365271633216;0,007528293293427368;;0,07643267064845187;0,0
15/03/2005;0,05452073419442556;0,11416428593060697;0,46252600771155467;0,007528293293427368;;0,07622054606927381;0,0
16/03/2005;0,05914343983684568;0,11269041682229786;0,46736840105150756;0,007528293293427368;;0,07500840561682795;0,0
17/03/2005;0,05642420122365736;0,11078246297660994;0,46367758757836863;0,007528293293427368;;0,07435327256276793;0,0
18/03/2005;0,054384772263766146;0,11073198800714723;0,4599032845648857;0,007528293293427368;;0,07400838974356015;0,0
21/03/2005;0,060774983004758656;0,1064719005845001;0,4517817675541797;0,007528293293427368;;0,07290447611722552;0,0
22/03/2005;0,06974847042828007;0,10391786712969037;0,44797867504402644;0,007528293293427368;;0,07142249011167566;0,0
23/03/2005;0,06689326988443237;0,09395410815776455;0,4320811149826586;0,007528293293427368;;0,07006749024876294;0,0
24/03/2005;0,058191706322229766;0,09267204393341341;0,43460307489098143;0,007528293293427368;;0,07010067980877038;0,0
25/03/2005;0,060435078178110134;0,09499389252869508;0,4337624215882071;0,007528293293427368;;0,07017860312357048;0,0
28/03/2005;0,06267845003399047;0,09190482439758124;0,43292176828543294;0,007528293293427368;;0,07019591941574828;0,0
29/03/2005;0,07273963290278722;0,08509070352012438;0,4378850775114014;0,007528293293427368;;0,06933876295294729;0,0
30/03/2005;0,061182868796736914;0,08660495260400368;0,4442187667788785;0,007528293293427368;;0,0685018088310204;0,0
31/03/2005;0,06634942216179468;0,0952462673760083;0,4524381680782637;0,007528293293427368;;0,06780627109521219;0,0
01/04/2005;0,0673011556764106;0,10248437799695134;0,45398992194879556;0,007528293293427368;;0,06810353411093104;0,0
04/04/2005;0,06757307953772942;0,09696241633773811;0,4486149229204412;0,007528293293427368;;0,06809343294049398;0,0
05/04/2005;0,061726716519374565;0,09757821096518238;0,4438214717248277;0,007528293293427368;;0,06833008893359058;0,0
06/04/2005;0,05452073419442556;0,10019281438334735;0,4444519617019084;0,007528293293427368;;0,06933731992859912;0,0
07/04/2005;0,0433718558803535;0,10228247811910071;0,43369620574586537;0,007528293293427368;;0,06998668088526658;0,0
08/04/2005;0,04731475186947653;0,10206038825346517;0,4258625837018629;0,007528293293427368;;0,07007614839485184;0,0
11/04/2005;0,03861318830727396;0,1007076590718663;0,4301003976117385;0,007528293293427368;;0,06992607386264428;0,0
12/04/2005;0,029367777022433723;0,09942559484751518;0,4209194271235638;0,007528293293427368;;0,06948017933906599;0,0
13/04/2005;0,05669612508497621;0,1011922187787077;0,4102385238588635;0,007528293293427368;;0,06924929544336202;0,0
14/04/2005;0,07328348062542486;0,09005744051524846;0,4091445229853902;0,007528293293427368;;0,06800396543090872;0,0
15/04/2005;0,11692726036709719;0,08242562513249682;0,4068701527484326;0,007528293293427368;;0,06668937024974422;0,0
18/04/2005;0,10088375254928618;0,07273443099566924;0,40237899126785787;0,007528293293427368;;0,06628676645661043;0,0
19/04/2005;0,07912984364377974;0,07947788691587848;0,4214808223086356;0,007528293293427368;;0,06634881650358083;0,0
20/04/2005;0,10577838205302517;0,08052776628070142;0,4277310220357687;0,007528293293427368;;0,06703858214199647;0,0
21/04/2005;0,07165193745751189;0,08201173038290317;0,4266802054073009;0,007528293293427368;;0,06744118593513027;0,0
22/04/2005;0,0848402447314752;0,08407110913697899;0,4315225987472539;0,007528293293427368;;0,06766918378213796;0,0
25/04/2005;0,07450713800135961;0,08678666249406915;0,4317932200159552;0,007528293293427368;;0,06765619656300459;0,0
26/04/2005;0,07845003399048266;0,08867442635197202;0,43191125695230365;0,007528293293427368;;0,06701982282547052;0,0
27/04/2005;0,07790618626784498;0,08402063416751639;0,41383145304332325;0,007528293293427368;;0,06626223504269185;0,0
28/04/2005;0,10496261046906864;0,07762040803965317;0,41068476105725404;0,007528293293427368;;0,0654555844320761;0,0
29/04/2005;0,08388851121685928;0,07838762757548534;0,4047310931458254;0,007528293293427368;;0,0645435930440454;0,0
02/05/2005;0,08130523453433038;0,080023016586075;0,40631163651302776;0,007528293293427368;;0,06494186776413477;0,0
